model_source,equipment,true_label,P_fault,W_severity,W_detection,risk_score,risk_tier
CWRU (bearing proxy),Main Drive Motor Bearing,Normal,0.0,0.5,1.0,0.0,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.7,35.0,Medium
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.985,49.25,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.855,85.5,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.5325,26.625,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.9475,94.75,Critical
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.9775,97.75,Critical
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.9824999999999999,98.25,Critical
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Main Drive Motor Bearing,Normal,0.0,0.5,1.0,0.0,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,B,1.0,0.25,0.71,17.75,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.5525,55.25,High
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,0.9125000000000001,27.375,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.7025,17.5625,Low
CWRU (bearing proxy),Separator Bearing,Normal,0.0,0.3,1.0,0.0,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.93,93.0,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.9575,47.875,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.6375,15.937499999999998,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.99,49.5,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.675,33.75,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.5075000000000001,50.75000000000001,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,Normal,0.0,0.5,1.0,0.0,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.87,87.0,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.98,49.0,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.9724999999999999,24.312499999999996,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.8975,22.4375,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.9775,48.875,Medium
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.935,93.5,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.99,99.0,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.975,48.75,Medium
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.9524999999999999,28.574999999999996,Low
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.9125,45.625,Medium
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.995,49.75,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.995,24.875,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,Normal,0.0050000000000000044,0.5,0.995,0.24875000000000022,Low
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.915,27.450000000000003,Low
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.88,22.0,Low
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,Normal,0.0,0.5,1.0,0.0,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,B,1.0,0.25,0.995,24.875,Low
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.98,49.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.5075000000000001,50.75000000000001,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.9475,94.75,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.9199999999999999,46.0,Medium
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.61,61.0,High
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.94,47.0,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.945,23.625,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,0.99,1.0,0.975,96.52499999999999,Critical
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.9875,24.6875,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.955,47.75,Medium
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.995,29.849999999999998,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.9675,24.1875,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.8674999999999999,21.6875,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.895,44.75,Medium
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.845,25.35,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.975,48.75,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,B,1.0,0.25,0.53,13.25,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.985,24.625,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.99,49.5,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.985,49.25,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,Normal,0.0,0.25,1.0,0.0,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.92,92.0,Critical
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.995,24.875,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),Normal,0.0,1.0,1.0,0.0,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,B,1.0,0.25,0.985,24.625,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.995,99.5,Critical
CWRU (bearing proxy),Separator Bearing,Normal,0.0,0.3,1.0,0.0,Low
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.5825,17.474999999999998,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.955,95.5,Critical
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.865,86.5,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.96,48.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.985,98.5,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.975,48.75,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.95,23.75,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.9875,98.75,Critical
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.985,24.625,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.94,94.0,Critical
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.9775,97.75,Critical
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,0.995,29.849999999999998,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.99,99.0,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,0.975,29.25,Low
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,0.995,29.849999999999998,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Main Drive Motor Bearing,Normal,0.0,0.5,1.0,0.0,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.995,49.75,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.9875,24.6875,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,B,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.7925,79.25,High
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.9775,97.75,Critical
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.985,49.25,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,Normal,0.0,0.5,1.0,0.0,Low
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,0.985,29.549999999999997,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.995,99.5,Critical
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.97,97.0,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.8325,41.625,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
