true_fault_type,predicted_fault_type,P_fault,equipment,W_severity,W_detection,risk_score,risk_tier
OR,OR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
B,B,1.0,Mill Shell Liners,0.55,0.735,40.425,Medium
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,1.0,95.0,Critical
Normal,Normal,0.0,Trunnion Bearing (Ball Mill),1.0,1.0,0.0,Low
IR,IR,1.0,Mill Shell Liners,0.55,0.995,54.725,Medium
IR,IR,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.99,99.0,Critical
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,0.95,23.75,Low
B,B,1.0,Separator Bearing,0.3,0.9125000000000001,27.375,Low
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.975,92.62499999999999,Critical
OR,OR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.98,93.1,Critical
IR,IR,1.0,Separator Bearing,0.3,0.975,29.25,Low
Normal,Normal,0.0,Main Drive Motor Bearing,0.5,1.0,0.0,Low
IR,IR,1.0,Grinding Table / Rollers (VRM),0.8,0.96,76.8,High
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.76,76.0,High
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
IR,IR,1.0,Mill Shell Liners,0.55,0.925,50.875,Medium
B,B,1.0,Mill Fan / Auxiliary Bearing,0.25,0.7775,19.4375,Low
OR,OR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
IR,IR,1.0,Separator Bearing,0.3,0.995,29.849999999999998,Low
IR,IR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,1.0,95.0,Critical
B,B,1.0,Grinding Table / Rollers (VRM),0.8,0.96,76.8,High
B,B,1.0,Mill Shell Liners,0.55,0.9675,53.212500000000006,Medium
IR,IR,0.995,Mill Shell Liners,0.55,0.845,46.242625,Medium
IR,IR,1.0,Trunnion Bearing (Ball Mill),1.0,0.875,87.5,Critical
Normal,Normal,0.015000000000000013,Mill Shell Liners,0.55,0.985,0.8126250000000007,Low
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.995,94.52499999999999,Critical
IR,IR,1.0,Separator Bearing,0.3,0.995,29.849999999999998,Low
IR,IR,1.0,Main Drive Motor Bearing,0.5,0.99,49.5,Medium
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,0.9125000000000001,22.812500000000004,Low
Normal,Normal,0.0050000000000000044,Separator Bearing,0.3,0.995,0.14925000000000013,Low
IR,IR,1.0,Grinding Table / Rollers (VRM),0.8,0.9875,79.0,High
IR,IR,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.8775,70.19999999999999,High
IR,IR,1.0,Grinding Table / Rollers (VRM),0.8,0.955,76.4,High
Normal,Normal,0.0,Mill Fan / Auxiliary Bearing,0.25,1.0,0.0,Low
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.99,79.2,High
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,1.0,100.0,Critical
IR,IR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Separator Bearing,0.3,0.745,22.35,Low
B,B,1.0,Girth Gear / Pinion / Gearbox,0.95,1.0,95.0,Critical
OR,OR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
IR,IR,1.0,Trunnion Bearing (Ball Mill),1.0,0.9025000000000001,90.25000000000001,Critical
IR,IR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
OR,OR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
IR,IR,1.0,Grinding Table / Rollers (VRM),0.8,1.0,80.0,Critical
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.925,87.875,Critical
B,B,1.0,Mill Shell Liners,0.55,0.885,48.675000000000004,Medium
IR,IR,1.0,Main Drive Motor Bearing,0.5,0.96,48.0,Medium
B,B,1.0,Mill Fan / Auxiliary Bearing,0.25,0.5875,14.6875,Low
OR,OR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.925,87.875,Critical
B,B,1.0,Separator Bearing,0.3,1.0,30.0,Medium
IR,IR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.9575,47.875,Medium
IR,IR,1.0,Trunnion Bearing (Ball Mill),1.0,1.0,100.0,Critical
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.885,70.80000000000001,High
B,B,1.0,Separator Bearing,0.3,0.625,18.75,Low
OR,OR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
OR,OR,1.0,Mill Shell Liners,0.55,0.995,54.725,Medium
OR,OR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
IR,IR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
B,B,1.0,Grinding Table / Rollers (VRM),0.8,0.995,79.60000000000001,High
Normal,Normal,0.0,Mill Fan / Auxiliary Bearing,0.25,1.0,0.0,Low
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,1.0,80.0,Critical
B,B,1.0,Girth Gear / Pinion / Gearbox,0.95,0.79,75.05,High
IR,IR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.995,49.75,Medium
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.96,96.0,Critical
IR,IR,1.0,Separator Bearing,0.3,0.9875,29.625,Low
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.91,86.44999999999999,Critical
OR,OR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,1.0,100.0,Critical
OR,OR,1.0,Separator Bearing,0.3,0.9125000000000001,27.375,Low
B,B,1.0,Separator Bearing,0.3,1.0,30.0,Medium
OR,OR,1.0,Separator Bearing,0.3,0.9875,29.625,Low
IR,IR,1.0,Main Drive Motor Bearing,0.5,0.965,48.25,Medium
OR,OR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
B,B,1.0,Main Drive Motor Bearing,0.5,0.825,41.25,Medium
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,1.0,95.0,Critical
IR,IR,1.0,Separator Bearing,0.3,0.975,29.25,Low
IR,IR,1.0,Mill Shell Liners,0.55,0.7025,38.6375,Medium
OR,OR,1.0,Mill Shell Liners,0.55,0.96,52.800000000000004,Medium
OR,OR,1.0,Mill Shell Liners,0.55,0.98,53.900000000000006,Medium
OR,OR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.995,99.5,Critical
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.97,97.0,Critical
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.935,88.825,Critical
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.95,95.0,Critical
B,B,1.0,Mill Shell Liners,0.55,0.99,54.449999999999996,Medium
OR,OR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.945,47.25,Medium
OR,OR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
B,B,1.0,Separator Bearing,0.3,0.92,27.6,Low
IR,IR,1.0,Mill Shell Liners,0.55,0.9924999999999999,54.5875,Medium
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.62,62.0,High
B,B,1.0,Separator Bearing,0.3,0.985,29.549999999999997,Low
IR,IR,1.0,Main Drive Motor Bearing,0.5,0.95,47.5,Medium
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.995,49.75,Medium
OR,OR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
B,OR,1.0,Mill Shell Liners,0.55,0.7075,38.91250000000001,Medium
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.835,83.5,Critical
IR,IR,1.0,Mill Shell Liners,0.55,0.9475,52.112500000000004,Medium
B,OR,1.0,Separator Bearing,0.3,0.62,18.6,Low
IR,IR,1.0,Grinding Table / Rollers (VRM),0.8,0.8300000000000001,66.40000000000002,High
IR,IR,1.0,Main Drive Motor Bearing,0.5,0.995,49.75,Medium
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.995,99.5,Critical
B,B,1.0,Grinding Table / Rollers (VRM),0.8,0.955,76.4,High
OR,OR,1.0,Mill Shell Liners,0.55,0.99,54.449999999999996,Medium
B,B,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.995,94.52499999999999,Critical
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.985,93.575,Critical
B,B,1.0,Grinding Table / Rollers (VRM),0.8,0.7025,56.2,High
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
B,B,1.0,Separator Bearing,0.3,0.945,28.349999999999998,Low
Normal,Normal,0.0,Trunnion Bearing (Ball Mill),1.0,1.0,0.0,Low
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.94,89.3,Critical
OR,OR,1.0,Separator Bearing,0.3,0.8775,26.325,Low
Normal,Normal,0.0,Trunnion Bearing (Ball Mill),1.0,1.0,0.0,Low
B,B,1.0,Separator Bearing,0.3,0.97,29.099999999999998,Low
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.9524999999999999,90.48749999999998,Critical
B,B,1.0,Mill Fan / Auxiliary Bearing,0.25,0.915,22.875,Low
B,B,1.0,Grinding Table / Rollers (VRM),0.8,0.8725,69.80000000000001,High
B,B,1.0,Mill Shell Liners,0.55,0.9875,54.31250000000001,Medium
IR,IR,1.0,Main Drive Motor Bearing,0.5,0.995,49.75,Medium
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.9425,94.25,Critical
OR,OR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
IR,IR,1.0,Mill Shell Liners,0.55,0.995,54.725,Medium
B,B,1.0,Separator Bearing,0.3,0.645,19.35,Low
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,0.9875,24.6875,Low
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.97,48.5,Medium
Normal,Normal,0.0,Grinding Table / Rollers (VRM),0.8,1.0,0.0,Low
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,1.0,80.0,Critical
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.7,55.99999999999999,High
IR,IR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.985,78.8,High
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.855,81.225,Critical
B,IR,1.0,Grinding Table / Rollers (VRM),0.8,0.5325,42.6,Medium
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.9475,94.75,Critical
IR,IR,1.0,Trunnion Bearing (Ball Mill),1.0,0.9775,97.75,Critical
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.9824999999999999,98.25,Critical
OR,OR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
IR,IR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
OR,OR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
Normal,Normal,0.0,Mill Shell Liners,0.55,1.0,0.0,Low
B,OR,1.0,Separator Bearing,0.3,0.71,21.3,Low
OR,B,1.0,Girth Gear / Pinion / Gearbox,0.95,0.5525,52.4875,Medium
IR,IR,1.0,Mill Fan / Auxiliary Bearing,0.25,0.9125000000000001,22.812500000000004,Low
OR,OR,1.0,Mill Shell Liners,0.55,0.7025,38.6375,Medium
Normal,Normal,0.0,Mill Fan / Auxiliary Bearing,0.25,1.0,0.0,Low
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.93,88.35,Critical
IR,IR,1.0,Mill Shell Liners,0.55,0.9575,52.6625,Medium
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.6375,31.874999999999996,Medium
OR,OR,1.0,Mill Shell Liners,0.55,0.99,54.449999999999996,Medium
B,B,1.0,Mill Shell Liners,0.55,0.675,37.12500000000001,Medium
IR,B,1.0,Girth Gear / Pinion / Gearbox,0.95,0.5075000000000001,48.212500000000006,Medium
Normal,Normal,0.0,Grinding Table / Rollers (VRM),0.8,1.0,0.0,Low
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.87,82.65,Critical
B,B,1.0,Grinding Table / Rollers (VRM),0.8,0.98,78.4,High
OR,OR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.9724999999999999,48.62499999999999,Medium
IR,IR,1.0,Main Drive Motor Bearing,0.5,0.8975,44.875,Medium
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.9775,78.2,High
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
IR,IR,1.0,Trunnion Bearing (Ball Mill),1.0,0.935,93.5,Critical
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,1.0,80.0,Critical
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.99,99.0,Critical
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.975,78.0,High
B,B,1.0,Mill Fan / Auxiliary Bearing,0.25,0.9524999999999999,23.812499999999996,Low
IR,IR,1.0,Grinding Table / Rollers (VRM),0.8,0.9125,73.0,High
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
B,B,1.0,Mill Shell Liners,0.55,0.995,54.725,Medium
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.995,49.75,Medium
OR,OR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
Normal,Normal,0.0050000000000000044,Girth Gear / Pinion / Gearbox,0.95,0.995,0.4726250000000004,Low
OR,OR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,1.0,95.0,Critical
B,B,1.0,Separator Bearing,0.3,0.915,27.450000000000003,Low
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,1.0,95.0,Critical
IR,IR,1.0,Separator Bearing,0.3,0.88,26.400000000000002,Low
OR,OR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
Normal,Normal,0.0,Mill Shell Liners,0.55,1.0,0.0,Low
B,B,1.0,Separator Bearing,0.3,0.995,29.849999999999998,Low
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.98,93.1,Critical
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.5075000000000001,50.75000000000001,Medium
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.9475,94.75,Critical
OR,OR,1.0,Mill Shell Liners,0.55,0.9199999999999999,50.6,Medium
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.61,61.0,High
B,B,1.0,Mill Shell Liners,0.55,0.94,51.7,Medium
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.945,47.25,Medium
B,B,0.99,Girth Gear / Pinion / Gearbox,0.95,0.975,91.69874999999999,Critical
OR,OR,1.0,Separator Bearing,0.3,0.9875,29.625,Low
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.955,76.4,High
B,B,1.0,Separator Bearing,0.3,0.995,29.849999999999998,Low
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.9675,48.375,Medium
OR,OR,1.0,Mill Shell Liners,0.55,0.8674999999999999,47.712500000000006,Medium
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,1.0,95.0,Critical
IR,IR,1.0,Mill Shell Liners,0.55,0.895,49.22500000000001,Medium
B,B,1.0,Separator Bearing,0.3,0.845,25.35,Low
IR,IR,1.0,Trunnion Bearing (Ball Mill),1.0,1.0,100.0,Critical
IR,IR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
IR,IR,1.0,Mill Shell Liners,0.55,0.975,53.625,Medium
B,B,1.0,Separator Bearing,0.3,0.53,15.9,Low
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.985,49.25,Medium
OR,OR,1.0,Mill Shell Liners,0.55,0.99,54.449999999999996,Medium
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.985,78.8,High
Normal,Normal,0.0,Main Drive Motor Bearing,0.5,1.0,0.0,Low
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.92,92.0,Critical
IR,IR,1.0,Main Drive Motor Bearing,0.5,0.995,49.75,Medium
Normal,Normal,0.0,Trunnion Bearing (Ball Mill),1.0,1.0,0.0,Low
IR,IR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
B,B,1.0,Main Drive Motor Bearing,0.5,0.985,49.25,Medium
IR,IR,1.0,Trunnion Bearing (Ball Mill),1.0,0.995,99.5,Critical
Normal,Normal,0.0,Separator Bearing,0.3,1.0,0.0,Low
IR,IR,1.0,Grinding Table / Rollers (VRM),0.8,1.0,80.0,Critical
B,B,1.0,Separator Bearing,0.3,0.5825,17.474999999999998,Low
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.955,95.5,Critical
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.865,82.175,Critical
OR,OR,1.0,Mill Shell Liners,0.55,0.96,52.800000000000004,Medium
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.985,93.575,Critical
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.975,78.0,High
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.95,47.5,Medium
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.9875,93.8125,Critical
IR,IR,1.0,Main Drive Motor Bearing,0.5,0.985,49.25,Medium
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.94,94.0,Critical
B,B,1.0,Girth Gear / Pinion / Gearbox,0.95,0.9775,92.8625,Critical
OR,OR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
OR,OR,1.0,Separator Bearing,0.3,0.995,29.849999999999998,Low
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.99,94.05,Critical
IR,IR,1.0,Grinding Table / Rollers (VRM),0.8,1.0,80.0,Critical
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,0.975,24.375,Low
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,0.995,24.875,Low
OR,OR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
Normal,Normal,0.0,Mill Shell Liners,0.55,1.0,0.0,Low
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.995,79.60000000000001,High
IR,IR,1.0,Main Drive Motor Bearing,0.5,0.9875,49.375,Medium
B,B,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
B,B,1.0,Grinding Table / Rollers (VRM),0.8,1.0,80.0,Critical
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.7925,79.25,High
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.9775,92.8625,Critical
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,1.0,80.0,Critical
OR,OR,1.0,Mill Shell Liners,0.55,0.985,54.175000000000004,Medium
Normal,Normal,0.0,Mill Shell Liners,0.55,1.0,0.0,Low
OR,OR,1.0,Separator Bearing,0.3,0.985,29.549999999999997,Low
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.995,99.5,Critical
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.97,97.0,Critical
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.8325,79.0875,High
OR,OR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
IR,IR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
OR,OR,1.0,Mill Shell Liners,0.55,0.945,51.975,Medium
IR,IR,1.0,Mill Shell Liners,0.55,0.985,54.175000000000004,Medium
IR,IR,1.0,Mill Fan / Auxiliary Bearing,0.25,0.975,24.375,Low
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,1.0,95.0,Critical
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.6975,34.875,Medium
B,B,1.0,Mill Shell Liners,0.55,0.7975,43.862500000000004,Medium
B,B,1.0,Mill Shell Liners,0.55,0.8975,49.362500000000004,Medium
IR,IR,1.0,Separator Bearing,0.3,0.99,29.7,Low
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,1.0,95.0,Critical
IR,IR,1.0,Mill Fan / Auxiliary Bearing,0.25,0.995,24.875,Low
B,B,1.0,Grinding Table / Rollers (VRM),0.8,0.9724999999999999,77.8,High
OR,OR,1.0,Mill Shell Liners,0.55,0.985,54.175000000000004,Medium
B,B,1.0,Mill Shell Liners,0.55,0.995,54.725,Medium
B,B,1.0,Separator Bearing,0.3,0.965,28.95,Low
IR,IR,1.0,Mill Shell Liners,0.55,0.995,54.725,Medium
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.98,93.1,Critical
IR,IR,1.0,Trunnion Bearing (Ball Mill),1.0,0.9425,94.25,Critical
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.92,73.60000000000001,High
IR,IR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,1.0,100.0,Critical
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
B,B,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
IR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.5825,58.25,High
IR,IR,1.0,Grinding Table / Rollers (VRM),0.8,0.99,79.2,High
IR,IR,1.0,Mill Shell Liners,0.55,0.985,54.175000000000004,Medium
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,1.0,80.0,Critical
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.9175,91.75,Critical
B,B,0.995,Main Drive Motor Bearing,0.5,0.9275,46.143125000000005,Medium
OR,OR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.96,96.0,Critical
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.97,92.15,Critical
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.8775,83.3625,Critical
OR,OR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
OR,OR,1.0,Separator Bearing,0.3,0.9924999999999999,29.774999999999995,Low
B,B,1.0,Separator Bearing,0.3,0.9275,27.825,Low
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
OR,OR,1.0,Separator Bearing,0.3,0.995,29.849999999999998,Low
IR,IR,1.0,Grinding Table / Rollers (VRM),0.8,0.8,64.00000000000001,High
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.995,99.5,Critical
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.995,49.75,Medium
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,1.0,25.0,Low
B,B,1.0,Mill Fan / Auxiliary Bearing,0.25,0.9524999999999999,23.812499999999996,Low
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.9875,93.8125,Critical
B,B,1.0,Girth Gear / Pinion / Gearbox,0.95,0.935,88.825,Critical
IR,IR,1.0,Trunnion Bearing (Ball Mill),1.0,1.0,100.0,Critical
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,1.0,100.0,Critical
OR,OR,1.0,Mill Shell Liners,0.55,0.885,48.675000000000004,Medium
IR,IR,1.0,Mill Shell Liners,0.55,0.905,49.775000000000006,Medium
B,B,1.0,Grinding Table / Rollers (VRM),0.8,0.8674999999999999,69.39999999999999,High
IR,IR,1.0,Grinding Table / Rollers (VRM),0.8,0.985,78.8,High
OR,OR,1.0,Separator Bearing,0.3,0.9875,29.625,Low
OR,OR,1.0,Mill Shell Liners,0.55,0.8274999999999999,45.5125,Medium
OR,OR,1.0,Separator Bearing,0.3,1.0,30.0,Medium
B,B,1.0,Mill Fan / Auxiliary Bearing,0.25,0.965,24.125,Low
IR,IR,1.0,Grinding Table / Rollers (VRM),0.8,0.995,79.60000000000001,High
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.9675,91.9125,Critical
IR,IR,1.0,Mill Fan / Auxiliary Bearing,0.25,0.875,21.875,Low
B,B,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
B,B,1.0,Grinding Table / Rollers (VRM),0.8,0.89,71.2,High
B,B,1.0,Main Drive Motor Bearing,0.5,0.975,48.75,Medium
OR,OR,1.0,Mill Shell Liners,0.55,0.97,53.349999999999994,Medium
