true_fault_type,predicted_fault_type,P_fault,equipment,W_severity,W_detection,risk_score,risk_tier
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.735,58.8,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
Normal,Normal,0.0,Eccentric / Main Shaft Bearing,1.0,1.0,0.0,Low
IR,IR,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
IR,IR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.99,99.0,Critical
OR,OR,1.0,Countershaft Bearing,0.55,0.95,52.25,Medium
B,B,1.0,Countershaft Bearing,0.55,0.9125000000000001,50.18750000000001,Medium
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.975,78.0,High
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.98,98.0,Critical
IR,IR,1.0,Countershaft Bearing,0.55,0.975,53.625,Medium
Normal,Normal,0.0,Drive Motor Bearing,0.65,1.0,0.0,Low
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.96,76.8,High
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.76,76.0,High
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.925,74.00000000000001,High
B,B,1.0,Countershaft Bearing,0.55,0.7775,42.7625,Medium
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
IR,IR,1.0,Countershaft Bearing,0.55,0.995,54.725,Medium
IR,IR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.96,76.8,High
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.9675,77.4,High
IR,IR,0.995,Rotor Bearing Housing (Impact/Hammer),0.8,0.845,67.262,High
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.875,87.5,Critical
Normal,Normal,0.015000000000000013,Drive Motor Bearing,0.65,0.985,0.9603750000000009,Low
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.995,99.5,Critical
IR,IR,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
IR,IR,1.0,Drive Motor Bearing,0.65,0.99,64.35,High
OR,OR,1.0,Countershaft Bearing,0.55,0.9125000000000001,50.18750000000001,Medium
Normal,Normal,0.0050000000000000044,Drive Motor Bearing,0.65,0.995,0.32337500000000025,Low
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.9875,79.0,High
IR,IR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.8775,70.19999999999999,High
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.955,76.4,High
Normal,Normal,0.0,Countershaft Bearing,0.55,1.0,0.0,Low
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.99,79.2,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
OR,OR,1.0,Countershaft Bearing,0.55,0.745,40.975,Medium
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.9025000000000001,90.25000000000001,Critical
IR,IR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.925,92.5,Critical
B,B,1.0,Drive Motor Bearing,0.65,0.885,57.525000000000006,High
IR,IR,1.0,Drive Motor Bearing,0.65,0.96,62.4,High
B,B,1.0,Countershaft Bearing,0.55,0.5875,32.31250000000001,Medium
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.925,92.5,Critical
B,B,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
IR,IR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.9575,62.237500000000004,High
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.885,70.80000000000001,High
B,B,1.0,Countershaft Bearing,0.55,0.625,34.375,Medium
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.995,79.60000000000001,High
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
IR,IR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.995,79.60000000000001,High
Normal,Normal,0.0,Countershaft Bearing,0.55,1.0,0.0,Low
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.79,79.0,High
IR,IR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.96,96.0,Critical
IR,IR,1.0,Countershaft Bearing,0.55,0.9875,54.31250000000001,Medium
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.91,91.0,Critical
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
OR,OR,1.0,Countershaft Bearing,0.55,0.9125000000000001,50.18750000000001,Medium
B,B,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Countershaft Bearing,0.55,0.9875,54.31250000000001,Medium
IR,IR,1.0,Drive Motor Bearing,0.65,0.965,62.724999999999994,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
B,B,1.0,Drive Motor Bearing,0.65,0.825,53.625,Medium
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
IR,IR,1.0,Countershaft Bearing,0.55,0.975,53.625,Medium
IR,IR,1.0,Drive Motor Bearing,0.65,0.7025,45.6625,Medium
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.96,76.8,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.98,63.7,High
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.995,99.5,Critical
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.97,97.0,Critical
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.935,93.5,Critical
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.95,95.0,Critical
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.99,79.2,High
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.945,61.425,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
B,B,1.0,Countershaft Bearing,0.55,0.92,50.60000000000001,Medium
IR,IR,1.0,Drive Motor Bearing,0.65,0.9924999999999999,64.51249999999999,High
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.62,62.0,High
B,B,1.0,Countershaft Bearing,0.55,0.985,54.175000000000004,Medium
IR,IR,1.0,Drive Motor Bearing,0.65,0.95,61.74999999999999,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
B,OR,1.0,Drive Motor Bearing,0.65,0.7075,45.987500000000004,Medium
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.835,83.5,Critical
IR,IR,1.0,Drive Motor Bearing,0.65,0.9475,61.587500000000006,High
B,OR,1.0,Countershaft Bearing,0.55,0.62,34.1,Medium
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.8300000000000001,66.40000000000002,High
IR,IR,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.995,99.5,Critical
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.955,76.4,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.99,79.2,High
B,B,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.995,99.5,Critical
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.985,78.8,High
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.7025,56.2,High
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
B,B,1.0,Countershaft Bearing,0.55,0.945,51.975,Medium
Normal,Normal,0.0,Eccentric / Main Shaft Bearing,1.0,1.0,0.0,Low
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.94,94.0,Critical
OR,OR,1.0,Countershaft Bearing,0.55,0.8775,48.2625,Medium
Normal,Normal,0.0,Eccentric / Main Shaft Bearing,1.0,1.0,0.0,Low
B,B,1.0,Countershaft Bearing,0.55,0.97,53.349999999999994,Medium
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.9524999999999999,76.2,High
B,B,1.0,Countershaft Bearing,0.55,0.915,50.32500000000001,Medium
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.8725,69.80000000000001,High
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.9875,79.0,High
IR,IR,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.9425,94.25,Critical
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
IR,IR,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
B,B,1.0,Countershaft Bearing,0.55,0.645,35.47500000000001,Medium
OR,OR,1.0,Countershaft Bearing,0.55,0.9875,54.31250000000001,Medium
OR,OR,1.0,Drive Motor Bearing,0.65,0.97,63.05,High
Normal,Normal,0.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,0.0,Low
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.7,55.99999999999999,High
IR,IR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.985,78.8,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.855,85.5,Critical
B,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.5325,42.6,Medium
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.9475,94.75,Critical
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.9775,97.75,Critical
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.9824999999999999,98.25,Critical
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
IR,IR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
Normal,Normal,0.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,0.0,Low
B,OR,1.0,Drive Motor Bearing,0.65,0.71,46.15,Medium
OR,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.5525,55.25,High
IR,IR,1.0,Countershaft Bearing,0.55,0.9125000000000001,50.18750000000001,Medium
OR,OR,1.0,Drive Motor Bearing,0.65,0.7025,45.6625,Medium
Normal,Normal,0.0,Countershaft Bearing,0.55,1.0,0.0,Low
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.93,93.0,Critical
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.9575,76.6,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.6375,41.4375,Medium
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.99,79.2,High
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.675,54.0,Medium
IR,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.5075000000000001,50.75000000000001,Medium
Normal,Normal,0.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,0.0,Low
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.87,87.0,Critical
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.98,78.4,High
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.9724999999999999,63.21249999999999,High
IR,IR,1.0,Drive Motor Bearing,0.65,0.8975,58.3375,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.9775,78.2,High
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.935,93.5,Critical
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.99,99.0,Critical
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.975,78.0,High
B,B,1.0,Countershaft Bearing,0.55,0.9524999999999999,52.387499999999996,Medium
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.9125,73.0,High
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.995,79.60000000000001,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
Normal,Normal,0.0050000000000000044,Rotor Bearing Housing (Impact/Hammer),0.8,0.995,0.39800000000000035,Low
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
B,B,1.0,Countershaft Bearing,0.55,0.915,50.32500000000001,Medium
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
IR,IR,1.0,Drive Motor Bearing,0.65,0.88,57.2,High
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
Normal,Normal,0.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,0.0,Low
B,B,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.98,78.4,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.5075000000000001,50.75000000000001,Medium
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.9475,94.75,Critical
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.9199999999999999,73.6,High
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.61,61.0,High
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.94,75.2,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.945,61.425,High
B,B,0.99,Eccentric / Main Shaft Bearing,1.0,0.975,96.52499999999999,Critical
OR,OR,1.0,Drive Motor Bearing,0.65,0.9875,64.18750000000001,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.955,76.4,High
B,B,1.0,Countershaft Bearing,0.55,0.995,54.725,Medium
OR,OR,1.0,Drive Motor Bearing,0.65,0.9675,62.88750000000001,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.8674999999999999,56.3875,High
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.895,71.60000000000001,High
B,B,1.0,Countershaft Bearing,0.55,0.845,46.475,Medium
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
IR,IR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.975,78.0,High
B,B,1.0,Drive Motor Bearing,0.65,0.53,34.45,Medium
OR,OR,1.0,Drive Motor Bearing,0.65,0.985,64.025,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.99,79.2,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.985,78.8,High
Normal,Normal,0.0,Drive Motor Bearing,0.65,1.0,0.0,Low
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.92,92.0,Critical
IR,IR,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
Normal,Normal,0.0,Eccentric / Main Shaft Bearing,1.0,1.0,0.0,Low
IR,IR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
B,B,1.0,Drive Motor Bearing,0.65,0.985,64.025,High
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.995,99.5,Critical
Normal,Normal,0.0,Countershaft Bearing,0.55,1.0,0.0,Low
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
B,B,1.0,Countershaft Bearing,0.55,0.5825,32.0375,Medium
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.955,95.5,Critical
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.865,86.5,Critical
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.96,76.8,High
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.985,98.5,Critical
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.975,78.0,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.95,61.74999999999999,High
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.9875,98.75,Critical
IR,IR,1.0,Drive Motor Bearing,0.65,0.985,64.025,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.94,94.0,Critical
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.9775,97.75,Critical
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Countershaft Bearing,0.55,0.995,54.725,Medium
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.99,99.0,Critical
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
OR,OR,1.0,Countershaft Bearing,0.55,0.975,53.625,Medium
OR,OR,1.0,Countershaft Bearing,0.55,0.995,54.725,Medium
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
Normal,Normal,0.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,0.0,Low
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.995,79.60000000000001,High
IR,IR,1.0,Drive Motor Bearing,0.65,0.9875,64.18750000000001,High
B,B,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.7925,79.25,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.9775,97.75,Critical
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.985,78.8,High
Normal,Normal,0.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,0.0,Low
OR,OR,1.0,Countershaft Bearing,0.55,0.985,54.175000000000004,Medium
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.995,99.5,Critical
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.97,97.0,Critical
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.8325,66.60000000000001,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
IR,IR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.945,75.6,High
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.985,78.8,High
IR,IR,1.0,Countershaft Bearing,0.55,0.975,53.625,Medium
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
OR,OR,1.0,Drive Motor Bearing,0.65,0.6975,45.337500000000006,Medium
B,B,1.0,Drive Motor Bearing,0.65,0.7975,51.837500000000006,Medium
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.8975,71.8,High
IR,IR,1.0,Countershaft Bearing,0.55,0.99,54.449999999999996,Medium
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
IR,IR,1.0,Countershaft Bearing,0.55,0.995,54.725,Medium
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.9724999999999999,77.8,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.985,64.025,High
B,B,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
B,B,1.0,Countershaft Bearing,0.55,0.965,53.075,Medium
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.995,79.60000000000001,High
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.98,78.4,High
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.9425,94.25,Critical
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.92,73.60000000000001,High
IR,IR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
B,B,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
IR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.5825,58.25,High
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.99,79.2,High
IR,IR,1.0,Drive Motor Bearing,0.65,0.985,64.025,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,1.0,80.0,Critical
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.9175,91.75,Critical
B,B,0.995,Drive Motor Bearing,0.65,0.9275,59.9860625,High
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.96,96.0,Critical
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.97,77.60000000000001,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.8775,87.75,Critical
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.9924999999999999,64.51249999999999,High
B,B,1.0,Drive Motor Bearing,0.65,0.9275,60.28750000000001,High
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Countershaft Bearing,0.55,0.995,54.725,Medium
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.8,64.00000000000001,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.995,99.5,Critical
OR,OR,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
OR,OR,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
B,B,1.0,Countershaft Bearing,0.55,0.9524999999999999,52.387499999999996,Medium
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.9875,98.75,Critical
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.935,93.5,Critical
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
OR,OR,1.0,Drive Motor Bearing,0.65,0.885,57.525000000000006,High
IR,IR,1.0,Drive Motor Bearing,0.65,0.905,58.825,High
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.8674999999999999,69.39999999999999,High
IR,IR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.985,78.8,High
OR,OR,1.0,Countershaft Bearing,0.55,0.9875,54.31250000000001,Medium
