true_fault_type,predicted_fault_type,P_fault,equipment,W_severity,W_detection,risk_score,risk_tier
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.5875,20.5625,Low
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.925,74.00000000000001,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9575,62.237500000000004,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.885,66.375,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.625,21.875,Low
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.995,74.625,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.995,74.625,High
Normal,Normal,0.0,Conveyor Belt / Roller Bearing,0.35,1.0,0.0,Low
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.79,63.20000000000001,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.96,76.8,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9875,34.5625,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.91,72.80000000000001,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9125000000000001,31.937500000000004,Medium
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9875,34.5625,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.965,62.724999999999994,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.825,53.625,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.975,34.125,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.7025,45.6625,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.96,72.0,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.98,63.7,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.995,79.60000000000001,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.97,77.60000000000001,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.935,74.80000000000001,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.95,76.0,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.99,74.25,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.945,61.425,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.92,32.2,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9924999999999999,64.51249999999999,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.62,49.6,Medium
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.985,34.475,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.95,61.74999999999999,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
B,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.7075,45.987500000000004,Medium
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.835,66.8,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9475,61.587500000000006,High
B,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.62,21.7,Low
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.8300000000000001,62.25000000000001,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.995,79.60000000000001,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.955,71.625,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.99,74.25,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.995,79.60000000000001,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.985,73.875,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.7025,52.6875,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.945,33.074999999999996,Medium
Normal,Normal,0.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,0.0,Low
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.94,75.2,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.8775,30.7125,Medium
Normal,Normal,0.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,0.0,Low
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.97,33.949999999999996,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.9524999999999999,71.4375,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.915,32.025,Medium
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.8725,65.4375,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.9875,74.06250000000001,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9425,75.4,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.645,22.575,Low
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9875,34.5625,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.97,63.05,High
Normal,Normal,0.0,Impeller / Filling Head Bearing,0.75,1.0,0.0,Low
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.7,52.49999999999999,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.985,73.875,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.855,68.4,High
B,IR,1.0,Impeller / Filling Head Bearing,0.75,0.5325,39.9375,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9475,75.8,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9775,78.2,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9824999999999999,78.60000000000001,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
Normal,Normal,0.0,Impeller / Filling Head Bearing,0.75,1.0,0.0,Low
B,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.71,46.15,Medium
OR,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.5525,44.2,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9125000000000001,31.937500000000004,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.7025,45.6625,Medium
Normal,Normal,0.0,Conveyor Belt / Roller Bearing,0.35,1.0,0.0,Low
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.93,74.4,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.9575,71.8125,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.6375,41.4375,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.99,74.25,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.675,50.62500000000001,Medium
IR,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.5075000000000001,40.60000000000001,Medium
Normal,Normal,0.0,Impeller / Filling Head Bearing,0.75,1.0,0.0,Low
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.87,69.60000000000001,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.98,73.5,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9724999999999999,63.21249999999999,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.8975,58.3375,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.9775,73.3125,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.935,74.80000000000001,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.99,79.2,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.975,73.125,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.9524999999999999,33.33749999999999,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.9125,68.4375,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.995,74.625,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
Normal,Normal,0.0050000000000000044,Impeller / Filling Head Bearing,0.75,0.995,0.3731250000000003,Low
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.915,32.025,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.88,57.2,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
Normal,Normal,0.0,Impeller / Filling Head Bearing,0.75,1.0,0.0,Low
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.98,73.5,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.5075000000000001,40.60000000000001,Medium
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9475,75.8,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.9199999999999999,69.0,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.61,48.8,Medium
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.94,70.5,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.945,61.425,High
B,B,0.99,Rotary Drive System (Main Drive Motor Bearing),0.8,0.975,77.22,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9875,64.18750000000001,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.955,71.625,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.995,34.825,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9675,62.88750000000001,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.8674999999999999,56.3875,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.895,67.125,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.845,29.574999999999996,Low
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.975,73.125,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.53,34.45,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.985,64.025,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.99,74.25,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.985,73.875,High
Normal,Normal,0.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,0.0,Low
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.92,73.60000000000001,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
Normal,Normal,0.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,0.0,Low
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.985,64.025,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.995,79.60000000000001,High
Normal,Normal,0.0,Conveyor Belt / Roller Bearing,0.35,1.0,0.0,Low
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.5825,20.3875,Low
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.955,76.4,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.865,69.2,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.96,72.0,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.985,78.8,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.975,73.125,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.95,61.74999999999999,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9875,79.0,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.985,64.025,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.94,75.2,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9775,78.2,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.995,34.825,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.99,79.2,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.975,34.125,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.995,34.825,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
Normal,Normal,0.0,Impeller / Filling Head Bearing,0.75,1.0,0.0,Low
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.995,74.625,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9875,64.18750000000001,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.7925,63.4,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9775,78.2,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.985,73.875,High
Normal,Normal,0.0,Impeller / Filling Head Bearing,0.75,1.0,0.0,Low
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.985,34.475,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.995,79.60000000000001,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.97,77.60000000000001,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.8325,62.4375,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.945,70.875,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.985,73.875,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.975,34.125,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.6975,45.337500000000006,Medium
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.7975,51.837500000000006,Medium
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.8975,67.3125,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.99,34.65,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.995,34.825,Medium
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.9724999999999999,72.93749999999999,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.985,64.025,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.965,33.775,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.995,74.625,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.98,73.5,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9425,75.4,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.92,69.0,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
IR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.5825,46.6,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.99,74.25,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.985,64.025,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9175,73.4,High
B,B,0.995,Palletizer Servo Drive / Gripper Bearing,0.65,0.9275,59.9860625,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
